Log_ID,User_ID,Login_Timestamp,IP_Address,Resource_Accessed,Failed_Login_Count,Data_Transfer_Amount
79,2,2026-01-14 18:30:18,135.249.220.117,Internal_Wiki,4,49.04
80,2,2026-01-14 02:40:03,14.136.199.1,Customer_DB,2,4659.46
81,3,2026-01-15 08:47:51,50.236.3.200,File_Server,1,1329.68
82,3,2026-01-26 10:42:15,90.232.151.191,File_Server,5,2770.59
83,3,2026-01-17 22:30:11,139.35.67.145,HR_Portal,2,3028.1
84,3,2026-01-29 09:53:37,153.253.34.181,Internal_Wiki,2,1025.95
85,3,2026-01-26 03:09:36,174.110.85.253,Internal_Wiki,2,2531.99
86,3,2026-01-13 11:02:44,101.164.253.217,HR_Portal,0,470.57
87,3,2026-01-22 02:31:02,22.214.164.83,Finance_DB,2,229.99
88,3,2026-01-24 08:19:40,21.110.28.164,HR_Portal,1,3189.2
89,3,2026-01-03 15:33:39,53.115.185.118,HR_Portal,1,3708.74
90,3,2026-01-04 01:34:15,163.194.5.146,Customer_DB,5,2144.16
91,3,2026-01-14 14:25:54,115.47.162.222,File_Server,0,385.47
92,3,2026-01-06 16:26:48,79.171.128.12,Internal_Wiki,1,2732.5
93,3,2026-01-22 14:20:27,132.169.55.188,HR_Portal,4,2767.1
94,3,2026-01-21 15:21:54,44.113.160.123,Finance_DB,1,218.73
95,3,2026-01-18 04:08:03,23.206.184.118,HR_Portal,0,4495.63
96,3,2026-01-06 16:42:00,128.90.216.161,Email_System,5,1255.15
97,3,2026-01-04 16:57:00,183.0.191.32,File_Server,2,3902.78
98,3,2026-01-08 01:41:23,167.110.203.221,Finance_DB,4,3749.89
99,3,2026-01-01 23:16:32,2.124.69.109,Email_System,1,4881.27
100,3,2026-01-21 16:35:00,93.188.182.255,Email_System,3,133.68
101,3,2026-01-25 07:34:49,197.68.233.193,Internal_Wiki,2,3914.11
102,3,2026-01-21 00:24:08,155.79.184.119,Finance_DB,5,4321.68
103,3,2026-01-26 03:05:02,21.23.210.81,Email_System,2,804.4
104,3,2026-01-22 13:48:09,23.233.99.78,Internal_Wiki,0,1918.88
105,3,2026-01-12 23:51:29,191.129.209.155,File_Server,3,1119.94
106,3,2026-01-11 03:30:30,124.79.87.203,Finance_DB,2,1532.9
107,3,2026-01-13 09:39:51,117.95.161.171,Email_System,1,128.09
108,3,2026-01-15 01:15:20,210.148.23.153,Email_System,3,1648.03
109,3,2026-01-06 05:59:03,110.32.233.157,File_Server,2,1762.22
110,3,2026-01-06 22:47:52,132.28.83.84,Customer_DB,3,3400.8
111,3,2026-01-19 16:07:23,61.209.180.46,Customer_DB,2,4696.79
112,3,2026-01-19 17:10:44,90.227.161.167,File_Server,2,901.05
113,3,2026-01-18 10:32:25,208.160.1.120,HR_Portal,0,550.93
114,3,2026-01-27 11:29:41,32.96.153.241,Finance_DB,2,3645.44
115,3,2026-01-16 14:35:44,56.245.138.142,HR_Portal,3,3034.98
116,3,2026-01-19 20:57:43,5.195.169.202,Customer_DB,0,1932.13
117,3,2026-01-23 05:35:43,118.249.47.37,Customer_DB,1,1281.07
118,3,2026-01-23 02:34:51,85.131.37.123,Internal_Wiki,3,18.44
119,3,2026-01-19 03:49:48,190.244.220.47,Customer_DB,5,3599.96
120,3,2026-01-05 17:27:50,192.80.110.116,Internal_Wiki,5,3356.44
121,4,2026-01-18 15:50:01,129.188.10.63,HR_Portal,3,359.17
122,4,2026-01-03 14:34:22,136.175.76.226,Internal_Wiki,2,3119.55
123,4,2026-01-21 22:41:04,98.20.204.213,Internal_Wiki,0,3601.57
124,4,2026-01-17 22:27:17,61.25.203.54,HR_Portal,4,1553.33
125,4,2026-01-15 09:34:11,56.67.154.153,Finance_DB,2,2017.98
126,4,2026-01-13 00:57:33,189.125.117.134,HR_Portal,4,645.17
127,4,2026-01-11 18:41:04,175.195.48.59,Finance_DB,5,4702.41
128,4,2025-12-31 11:21:00,177.170.175.108,Internal_Wiki,5,4515.0
129,4,2026-01-16 12:30:01,113.25.15.147,Customer_DB,4,1511.74
130,4,2026-01-01 11:40:15,183.233.190.172,Customer_DB,0,1526.34
131,4,2026-01-09 05:02:20,170.156.10.30,Email_System,3,3930.94
132,4,2026-01-11 02:41:31,71.82.40.28,Customer_DB,5,1618.02
133,4,2026-01-26 21:50:20,201.220.49.222,Finance_DB,3,3381.38
134,4,2026-01-11 23:18:44,181.94.135.86,Customer_DB,3,3970.74
135,4,2026-01-28 22:40:59,135.84.129.170,Internal_Wiki,1,3297.67
136,4,2026-01-07 11:34:04,194.110.177.112,HR_Portal,4,3322.63
137,4,2026-01-27 14:59:00,83.247.27.134,Customer_DB,2,476.0
138,4,2026-01-27 11:37:07,152.5.7.122,Email_System,5,1558.99
139,4,2026-01-18 18:54:10,205.150.45.236,Email_System,1,131.88
140,4,2026-01-03 05:18:33,143.138.216.36,Email_System,3,3060.26
141,4,2026-01-04 11:29:26,147.77.33.113,File_Server,3,2078.06
142,4,2026-01-28 16:17:49,160.168.56.27,Internal_Wiki,4,980.23
143,4,2026-01-16 09:17:19,13.237.219.187,Internal_Wiki,3,2476.94
144,4,2026-01-02 21:06:26,13.117.174.210,Email_System,1,3283.73
145,4,2025-12-31 03:30:27,168.250.251.183,File_Server,0,3894.32
146,4,2026-01-04 15:43:43,27.151.11.93,Email_System,1,4022.51
147,4,2026-01-21 20:24:07,155.223.5.122,Internal_Wiki,4,2328.1
148,4,2026-01-08 01:58:52,184.164.131.212,Customer_DB,1,4588.18
149,4,2026-01-29 10:21:24,167.188.103.225,File_Server,3,675.36
150,4,2026-01-22 02:23:02,24.150.178.62,Finance_DB,5,2660.35
151,4,2026-01-15 04:16:44,169.22.47.138,Customer_DB,4,1593.32
152,4,2026-01-13 01:44:30,215.205.186.177,Finance_DB,4,4076.88
153,4,2026-01-22 02:11:29,152.65.92.90,Customer_DB,3,4154.54
154,4,2026-01-15 20:41:50,84.205.8.57,Customer_DB,3,4487.07
155,4,2026-01-08 08:37:32,27.90.185.224,Internal_Wiki,3,2255.85
156,4,2026-01-12 01:46:09,49.174.98.100,Email_System,5,1393.78
157,4,2026-01-26 12:18:37,76.58.68.188,Customer_DB,3,3137.47
158,4,2026-01-03 16:30:47,118.128.186.198,HR_Portal,3,396.64
159,4,2026-01-23 06:00:05,2.246.23.122,HR_Portal,1,1365.86
160,4,2026-01-22 15:27:20,159.105.157.225,HR_Portal,4,412.08
161,5,2026-01-21 06:55:41,161.125.37.130,Email_System,1,1921.35
162,5,2026-01-13 19:34:34,115.228.147.244,Email_System,5,1077.62
163,5,2026-01-14 09:31:22,151.158.7.245,Finance_DB,3,1661.1
164,5,2026-01-22 12:09:19,6.192.3.224,Finance_DB,3,320.71
165,5,2026-01-20 04:30:53,198.212.174.189,Finance_DB,3,4525.14
166,5,2026-01-16 14:39:21,145.86.177.216,Customer_DB,5,107.46
167,5,2026-01-14 10:00:31,113.238.52.220,Customer_DB,3,2390.13
168,5,2026-01-08 21:08:38,43.217.126.190,HR_Portal,2,3769.84
169,5,2026-01-08 19:55:42,119.191.71.4,Finance_DB,4,3740.1
170,5,2026-01-12 22:54:44,185.14.83.73,Customer_DB,4,4490.08
171,5,2026-01-04 09:53:18,174.94.182.119,Finance_DB,1,1371.95
172,5,2026-01-10 13:48:14,51.88.90.47,Finance_DB,0,1950.4
173,5,2025-12-31 05:15:03,136.25.239.107,Internal_Wiki,5,3992.73
174,5,2026-01-12 20:21:46,67.125.90.177,Internal_Wiki,1,4204.12
175,5,2026-01-26 09:28:36,40.20.246.144,Email_System,4,2675.28
176,5,2026-01-23 08:40:55,64.200.244.208,Finance_DB,4,2826.32
177,5,2026-01-27 09:36:00,62.163.64.234,File_Server,0,3217.32
178,5,2026-01-20 21:57:01,35.73.193.150,Email_System,3,916.83
179,5,2026-01-11 18:55:32,207.210.99.174,HR_Portal,3,1643.49
180,5,2026-01-05 01:41:17,175.52.166.26,Finance_DB,2,1694.13
181,5,2026-01-23 09:41:35,67.110.84.192,Finance_DB,2,3762.53
182,5,2026-01-06 21:32:30,108.220.130.161,Finance_DB,2,4176.21
183,5,2026-01-03 16:00:35,199.60.165.174,Finance_DB,0,3747.63
184,5,2026-01-26 14:58:08,183.56.212.57,File_Server,2,1128.87
185,5,2026-01-24 21:36:29,60.85.138.123,File_Server,5,210.89
186,5,2026-01-13 23:12:30,221.184.249.88,File_Server,1,1004.81
187,5,2026-01-14 08:33:38,131.218.208.52,File_Server,4,770.39
188,5,2026-01-29 03:02:18,203.153.103.95,Email_System,3,3350.6
189,5,2026-01-09 14:51:26,144.239.246.76,Customer_DB,1,2330.52
190,5,2026-01-03 11:21:25,106.199.240.183,HR_Portal,2,847.27
191,5,2026-01-26 07:53:04,64.43.214.206,Customer_DB,5,3594.6
192,5,2026-01-19 08:43:27,31.9.133.229,Email_System,2,549.41
193,5,2026-01-13 16:06:31,82.112.79.121,File_Server,2,2883.23
194,5,2026-01-13 06:09:27,157.14.217.104,Finance_DB,3,4707.94
195,5,2026-01-02 23:41:50,144.238.118.132,Email_System,0,2964.57
196,5,2026-01-28 03:55:17,140.169.17.236,Internal_Wiki,1,518.49
197,5,2026-01-20 04:05:23,78.99.71.41,HR_Portal,5,3006.05
198,5,2026-01-06 18:21:07,212.141.51.29,File_Server,4,3915.35
199,5,2026-01-02 23:57:55,83.175.233.112,HR_Portal,4,2147.61
200,5,2026-01-28 10:02:36,185.60.76.71,HR_Portal,0,2534.74
201,6,2026-01-20 20:25:04,83.118.58.225,HR_Portal,0,4249.38
202,6,2026-01-19 01:43:24,207.243.74.232,Finance_DB,0,2173.28
203,6,2026-01-20 18:47:34,66.141.20.63,HR_Portal,5,4458.96
204,6,2026-01-20 12:07:00,184.3.3.141,Finance_DB,5,773.43
205,6,2025-12-31 18:54:06,65.83.228.191,Email_System,5,2613.52
206,6,2026-01-12 14:46:12,139.54.83.46,Internal_Wiki,2,3083.4
207,6,2026-01-22 08:56:24,15.19.95.34,Customer_DB,3,2329.72
208,6,2026-01-13 00:50:34,99.124.177.68,Internal_Wiki,4,1349.29
209,6,2026-01-23 09:40:08,195.225.74.103,Email_System,0,1401.85
210,6,2026-01-16 10:10:15,52.140.55.239,Finance_DB,1,3754.88
211,6,2026-01-04 14:38:04,218.141.192.107,Customer_DB,4,3344.26
212,6,2026-01-19 12:22:05,146.114.41.15,HR_Portal,0,2476.59
213,6,2026-01-18 23:19:39,160.150.79.187,HR_Portal,1,2442.87
214,6,2026-01-21 14:40:39,80.39.77.128,HR_Portal,2,1708.29
215,6,2026-01-15 05:24:29,89.222.1.14,Customer_DB,5,4401.74
216,6,2026-01-24 12:18:54,172.2.91.125,Customer_DB,0,2587.97
217,6,2026-01-25 20:56:03,17.188.10.52,Email_System,0,1214.37
218,6,2026-01-08 15:18:59,15.249.211.230,Finance_DB,3,2780.33
219,6,2026-01-20 23:46:55,182.131.140.146,Email_System,5,2385.7
220,6,2026-01-12 11:54:36,6.77.226.57,Internal_Wiki,3,2246.39
221,6,2026-01-20 19:12:33,223.130.194.81,File_Server,0,1478.24
222,6,2026-01-05 10:14:18,79.80.166.79,Finance_DB,5,1224.09
223,6,2026-01-07 05:17:27,32.224.10.220,Internal_Wiki,4,1851.41
224,6,2026-01-26 08:11:11,46.97.126.216,Customer_DB,4,1725.35
225,6,2026-01-05 00:57:31,19.194.72.92,Internal_Wiki,4,1660.65
226,6,2026-01-07 00:09:22,25.86.238.13,Internal_Wiki,3,1361.87
227,6,2026-01-24 05:38:44,154.151.100.202,HR_Portal,1,612.07
228,6,2026-01-22 22:55:10,192.111.153.73,Email_System,2,606.58
229,6,2026-01-21 16:57:42,7.17.149.139,Customer_DB,5,933.9
230,6,2026-01-08 18:50:38,212.94.70.190,Email_System,5,2426.15
231,6,2026-01-02 22:06:05,125.168.230.170,Internal_Wiki,4,4883.27
232,6,2026-01-16 00:45:01,206.35.43.107,Customer_DB,4,1422.16
233,6,2025-12-30 15:45:20,126.152.220.79,File_Server,1,1488.27
234,6,2026-01-28 00:35:56,159.86.68.113,HR_Portal,1,1518.32
235,6,2026-01-06 17:53:35,31.127.185.130,Internal_Wiki,4,641.65
236,6,2026-01-16 06:51:55,56.36.53.165,File_Server,0,2771.26
237,6,2026-01-21 15:16:54,205.130.92.44,Internal_Wiki,1,3192.97
238,6,2026-01-11 02:59:44,142.242.175.225,Finance_DB,0,4364.87
239,6,2026-01-19 11:21:16,94.69.62.42,Customer_DB,2,2352.29
240,6,2026-01-18 00:56:00,41.188.23.243,Finance_DB,2,929.97
241,7,2026-01-23 13:51:59,194.129.70.179,File_Server,2,4705.91
242,7,2026-01-23 21:58:42,195.83.246.107,Finance_DB,0,4112.36
243,7,2026-01-04 09:42:00,222.22.253.13,Finance_DB,3,379.67
244,7,2026-01-04 08:56:22,15.79.147.209,Internal_Wiki,5,277.51
245,7,2025-12-31 06:38:53,189.30.139.121,Email_System,4,4746.14
246,7,2026-01-07 00:36:38,80.246.34.28,File_Server,1,601.07
247,7,2026-01-15 23:13:09,153.112.93.229,Finance_DB,4,2984.67
248,7,2026-01-03 10:20:27,169.97.72.75,Customer_DB,1,3880.71
249,7,2026-01-14 21:42:14,159.58.136.17,Finance_DB,3,4543.44
250,7,2026-01-25 19:05:46,68.97.1.107,HR_Portal,4,4950.26
251,7,2026-01-10 22:17:38,146.100.106.230,HR_Portal,4,3108.93
252,7,2026-01-10 13:48:27,189.227.24.33,Customer_DB,5,505.18
253,7,2026-01-04 07:27:41,179.55.90.245,Email_System,5,1063.02
254,7,2026-01-21 01:41:23,108.202.156.240,Internal_Wiki,0,793.71
255,7,2025-12-31 22:29:34,67.151.117.24,Email_System,4,384.57
256,7,2026-01-13 18:33:54,59.144.95.81,File_Server,3,2258.01
257,7,2026-01-06 14:22:04,118.151.195.146,Customer_DB,3,1463.38
258,7,2026-01-27 00:07:15,139.134.13.85,Email_System,2,3537.71
259,7,2026-01-07 18:48:44,110.30.230.197,Internal_Wiki,3,365.19
260,7,2026-01-11 05:21:14,20.148.107.158,Email_System,2,3941.26
261,7,2026-01-10 19:17:09,24.32.149.22,Internal_Wiki,4,3309.3
262,7,2026-01-21 20:12:19,120.19.62.245,Email_System,3,582.73
263,7,2026-01-22 02:49:34,213.14.34.230,Email_System,5,753.46
264,7,2026-01-03 02:49:20,27.14.223.161,HR_Portal,1,366.34
265,7,2026-01-28 01:20:15,59.39.224.174,Email_System,2,2979.27
266,7,2026-01-11 16:09:08,25.170.251.16,Customer_DB,2,2201.38
267,7,2026-01-09 04:52:17,198.55.221.156,Finance_DB,5,1527.42
268,7,2026-01-04 17:01:37,117.190.75.245,Finance_DB,2,2507.36
269,7,2026-01-27 10:28:16,50.229.15.140,Finance_DB,3,411.4
270,7,2025-12-31 14:19:42,192.242.169.195,File_Server,3,3675.32
271,7,2026-01-12 20:33:35,67.35.138.120,Customer_DB,2,139.07
272,7,2026-01-28 23:16:54,185.40.128.163,Email_System,5,4181.43
273,7,2026-01-10 16:52:27,150.140.109.51,Customer_DB,4,4754.42
274,7,2026-01-10 03:55:32,144.10.68.251,Internal_Wiki,2,2885.47
275,7,2026-01-06 04:07:34,130.133.230.71,Email_System,3,2599.63
276,7,2026-01-14 12:41:59,160.136.169.62,Finance_DB,2,915.63
277,7,2026-01-27 16:01:09,40.105.13.19,Customer_DB,3,3177.58
278,7,2026-01-03 21:46:47,218.116.123.171,Finance_DB,0,2355.35
279,7,2026-01-19 16:51:47,106.29.83.151,Finance_DB,2,1612.08
280,7,2026-01-25 17:13:21,219.181.26.218,File_Server,1,1655.72
281,8,2026-01-25 07:15:17,12.92.69.163,Internal_Wiki,3,1448.21
282,8,2026-01-07 12:28:30,123.218.211.8,Finance_DB,4,193.12
283,8,2026-01-13 20:37:53,186.214.193.95,File_Server,2,1269.47
284,8,2026-01-05 02:56:57,18.104.218.53,File_Server,3,4325.9
285,8,2026-01-06 08:45:38,183.56.60.76,File_Server,5,4348.14
286,8,2026-01-18 19:47:05,195.118.141.188,Finance_DB,3,280.48
287,8,2026-01-03 21:58:38,160.57.2.197,Customer_DB,2,3116.94
288,8,2026-01-12 08:53:00,7.163.102.219,Finance_DB,5,2215.78
289,8,2026-01-17 10:12:01,144.199.64.167,File_Server,1,1342.61
290,8,2026-01-27 21:49:43,55.198.57.96,Email_System,2,2196.2
291,8,2026-01-04 18:59:57,158.44.173.82,Internal_Wiki,3,615.92
292,8,2025-12-31 17:55:21,148.254.14.10,Internal_Wiki,4,3998.58
293,8,2026-01-29 03:33:51,113.2.239.222,Internal_Wiki,1,1560.64
294,8,2026-01-22 01:40:40,217.171.138.184,File_Server,4,2045.87
295,8,2026-01-19 08:27:57,66.230.246.77,Email_System,0,2312.62
296,8,2026-01-01 08:07:19,63.135.41.104,File_Server,5,4162.39
297,8,2026-01-05 04:03:25,72.174.184.67,Finance_DB,5,1466.39
298,8,2026-01-18 09:34:19,29.105.124.130,Internal_Wiki,2,2083.3
299,8,2026-01-28 01:04:04,180.241.218.1,Finance_DB,3,1226.22
300,8,2026-01-19 16:08:32,159.81.118.59,Customer_DB,1,1924.09
301,8,2026-01-29 10:03:13,49.231.67.54,Customer_DB,4,3734.0
302,8,2026-01-01 02:53:03,141.231.191.27,Email_System,0,1388.47
303,8,2026-01-21 01:20:44,23.142.60.23,Finance_DB,2,4671.9
304,8,2026-01-17 03:19:36,87.130.106.123,Customer_DB,2,4104.54
305,8,2026-01-25 23:06:56,219.122.65.147,HR_Portal,5,1499.79
306,8,2026-01-02 11:18:46,44.37.210.202,Customer_DB,4,4994.52
307,8,2026-01-05 11:05:35,201.209.161.110,Finance_DB,1,2238.27
308,8,2026-01-03 23:34:27,129.93.235.170,Finance_DB,2,1668.88
309,8,2026-01-01 23:41:42,163.229.168.126,Customer_DB,3,2282.17
310,8,2026-01-05 15:28:44,163.72.133.164,HR_Portal,1,4904.07
311,8,2026-01-02 20:42:12,173.168.66.31,Email_System,4,1921.02
312,8,2026-01-27 23:57:09,115.186.92.210,Finance_DB,0,1597.7
313,8,2026-01-15 11:33:59,176.23.58.148,Finance_DB,5,4568.02
314,8,2026-01-12 23:48:55,212.161.72.175,Finance_DB,3,4942.19
315,8,2026-01-05 20:13:07,5.101.94.191,Internal_Wiki,1,2481.69
316,8,2026-01-04 20:50:25,129.166.97.204,File_Server,1,2516.43
317,8,2026-01-05 22:19:43,79.58.69.121,Customer_DB,2,4349.8
318,8,2026-01-28 02:49:49,43.38.217.139,Finance_DB,0,2634.5
319,8,2026-01-12 09:56:33,90.241.4.143,Finance_DB,0,3614.99
320,8,2026-01-25 01:42:03,68.17.85.185,Finance_DB,5,4850.08
321,9,2026-01-22 15:38:01,27.149.210.194,File_Server,3,3909.81
322,9,2026-01-24 10:43:57,156.237.168.38,HR_Portal,2,3120.06
323,9,2026-01-23 23:46:53,112.177.159.136,Finance_DB,5,410.77
324,9,2026-01-24 20:18:05,33.254.95.65,HR_Portal,5,4298.12
325,9,2026-01-02 11:38:01,198.115.104.49,Finance_DB,2,3137.73
326,9,2026-01-20 05:24:42,159.96.144.153,Finance_DB,4,189.14
327,9,2026-01-21 01:33:16,69.43.171.215,File_Server,1,3159.49
328,9,2026-01-15 04:03:15,132.52.35.68,HR_Portal,1,3736.36
329,9,2026-01-05 15:47:26,125.76.253.105,Finance_DB,0,3804.24
330,9,2026-01-18 00:33:09,199.150.252.214,Internal_Wiki,0,2223.96
331,9,2026-01-21 13:23:01,14.226.24.176,Internal_Wiki,2,4518.09
332,9,2026-01-04 08:19:05,161.212.163.216,File_Server,2,3982.76
333,9,2026-01-26 07:07:08,182.225.120.12,HR_Portal,2,1880.46
334,9,2026-01-20 09:50:05,23.79.209.194,Email_System,1,2660.52
335,9,2026-01-19 14:53:40,61.6.32.66,Customer_DB,5,3964.67
336,9,2026-01-18 21:19:16,38.21.226.235,Email_System,1,404.05
337,9,2026-01-14 16:54:43,48.80.29.75,Finance_DB,4,3418.84
338,9,2026-01-17 16:51:33,201.229.166.123,Finance_DB,4,724.16
339,9,2026-01-02 18:58:58,69.118.156.23,Finance_DB,5,1277.35
340,9,2026-01-04 01:23:16,27.236.185.25,HR_Portal,5,56.89
341,9,2026-01-05 20:21:44,3.81.142.183,Finance_DB,2,3391.28
342,9,2026-01-05 11:10:36,59.17.101.189,Email_System,0,2214.23
343,9,2026-01-02 00:42:21,195.63.242.154,HR_Portal,4,1502.78
344,9,2026-01-16 14:27:52,77.157.131.57,Finance_DB,5,1257.99
345,9,2026-01-07 01:02:26,142.90.7.32,HR_Portal,1,4996.87
346,9,2026-01-04 18:51:01,55.134.30.201,Finance_DB,0,1193.66
347,9,2026-01-05 02:37:04,183.60.177.254,Customer_DB,2,2878.31
348,9,2026-01-20 08:43:08,170.26.226.72,Internal_Wiki,2,119.48
349,9,2026-01-29 02:17:50,206.35.187.162,Internal_Wiki,3,1379.66
350,9,2025-12-31 22:29:59,98.120.204.246,Customer_DB,5,3893.77
351,9,2026-01-16 00:41:28,43.156.38.14,File_Server,4,3728.41
352,9,2026-01-06 11:40:01,1.205.51.155,HR_Portal,1,3039.25
353,9,2026-01-02 21:50:23,65.246.73.51,HR_Portal,1,3186.72
354,9,2026-01-03 23:40:20,182.226.94.90,Customer_DB,2,3392.04
355,9,2026-01-17 19:03:54,53.209.61.101,Internal_Wiki,5,3407.47
356,9,2026-01-07 04:09:43,52.194.176.113,Email_System,5,494.85
357,9,2026-01-27 02:03:40,131.93.241.104,Internal_Wiki,5,206.72
358,9,2026-01-07 02:01:50,104.203.211.192,Finance_DB,0,2902.07
359,9,2026-01-03 11:48:58,125.178.48.237,Internal_Wiki,1,459.77
360,9,2026-01-23 02:36:13,154.129.252.132,HR_Portal,2,3739.93
